7:302,616,29,508,861,1382,1023,239,901,1140
18:138,449,521,380,1622,4048,5581,2163,1510,2700
19:19480,17,302,654,76,616,58,8,866,84
36:654,616,29,70,322,861,873,94,1382,931
37:17,84,65,1239,654,296,508,301,138,899
41:356,58,4499,138,101,902,1023,901,402,1462
42:84,518,1102,131,2193,1009,58,3824,2008,736
43:58,138,289,101,899,554,48,1187,1804,496
44:15,97,302,76,616,2338,8,84,354,301
45:347,4858,19829,11751,74038,14021,15580,65060,11557,79096
46:302,58,508,1102,109,289,61,94,554,1382
59:119,654,29,1039,1102,138,899,61,2139,1119
60:302,76,6011,29,162,1023,901,1462,45,891
69:813,58,559,5465,508,354,138,289,101,1217
70:899,239,48,1187,546,496,3,30,726,1362
94:322,119,302,1152,559,29,508,301,736,361
106:29,101,899,32,162,554,873,239,1109,2030
115:966,709,58,29,354,15,2816,289,899,861
116:834,138,859,449,1164,1200,4880,4671,1784,380
142:296,58,709,84,29,1965,454,1102,5176,861
143:49245,86747,17,302,654,76,616,58,8,866
148:378,1405,138,5545,94,986,1382,1023,901,5103
150:289,101,861,554,1804,1549,4174,5575,73,1231
156:568,301,7029,787,356,239,999,1089,3,774
161:1403,179,616,84,1039,29,289,101,361,327
171:302,508,101,289,245,861,162,554,1382,239
172:1937,138,1217,861,162,364,239,483,1535,1140
174:20582,103672,33107,82864,90200,17,68438,74620,4608,302
177:29,873,931,1550,1140,3234,114,749,1476,1332
196:650,29,3476,508,289,101,238,554,1119,1382
202:302,58,220,1102,138,245,32,861,162,554
211:873,431,2583,481,7048,571,815,1339,4107,21380
217:17,1023,901,1126,4268,3841,4697,2626,4187,167
220:10178,186,22713,7649,39446,40356,64973,45641,17,866
223:119,167,58,559,899,554,1119,239,2030,48
224:4797,17,15627,7126,68162,53543,24044,51115,45229,15846
225:353,3476,138,15,32,1119,239,1109,1187,96
228:650,568,254,3017,86,5514,7194,3163,10039,708
229:1410,58,2068,508,361,101,861,787,94,358
231:2904,94,1382,239,901,378,119,1126,3,179
232:77322,17,120622,48718,78975,62228,99135,86134,48256,60364
238:61,94,1382,1344,1744,774,3250,357,188,4919
241:58,29,289,61,554,94,1382,239,402,1344
245:40012,17,81,302,654,76,616,58,8,866
249:302,29,3234,8483,546,749,1499,1476,495,254
250:285,3250,302,2031,29,899,787,1119,94,358
253:1551,678,1435,189,3789,176,8066,8011,1449,776
257:354,65,296,709,289,101,861,554,1462,1550
272:29,1102,239,3234,749,1476,495,1762,726,692
273:302,654,967,301,289,101,327,861,32,554
288:116,5998,616,699,29,354,301,361,899,1119
290:138,94,1382,901,13501,1126,2618,1832,179,449
291:1050,16625,10511,61628,16852,9581,5006,23,88,26067
292:58,138,361,289,1410,483,1462,1344,3234,1140
294:1102,289,101,899,363,861,554,48,97,1187
328:239,3,726,2868,395,1567,837,2361,5025,6284
331:302,3234,749,1476,813,495,1822,690,692,66
345:62840,29573,11401,1754,77581,17,302,654,76,616
361:29,364,239,45,3234,546,749,1086,1476,3
376:17,45,1140,3,194,3730,8683,2868,395,1567
384:654,616,301,1684,101,289,554,483,97,4940
401:1009,58,29,354,1102,899,32,554,239,356
402:302,3304,289,101,861,4793,94,1382,239,3234
410:354,378,901,1126,1499,4755,179,3841,4187,834
448:616,58,518,138,289,101,245,598,94,1382
449:65,866,1039,138,361,899,61,2139,94,1119
450:65,5567,116,302,654,193,559,866,1039,29
452:749,13523,5869,9250,23323,15250,69268,22576,81553,51765
476:398,8213,245,5117,5178,7959,4793,24568,3493,3482
488:1196,3304,616,508,1102,138,861,787,902,94
490:17,302,29,354,138,15,289,101,899,32
494:356,616,58,11,29,1212,6923,301,138,289
500:14750,12253,8861,4756,8197,5080,1912,4075,7795,21171
514:1109,2030,8276,97,96,1549,18287,2848,5214,209
525:116,302,29,239,402,1187,3234,496,1476,3
535:17,29,1102,508,289,101,861,554,1382,239
536:97,813,302,29,508,899,1119,94,239,901
538:1102,394,1023,239,901,1126,999,10269,3,294
539:29,1039,508,138,899,61,861,32,787,7409
564:65,97,709,518,508,289,861,32,873,554
582:1550,29,138,899,32,1119,1023,239,1109,1462
585:17,185,901,1126,1499,30,3841,1362,4187,22
590:29,2073,101,861,554,1023,239,356,483,2200
601:31717,17,121660,90819,48912,90054,75023,105155,94414,121234
618:221,7806,15141,5157,11506,13206,7264,13150,62001,36526
624:3915,3864,3190,8514,4966,5827,6266,4485,5450,9368
627:9761,51158,42376,17,114599,77531,302,654,76,616
628:17,6526,21488,84119,39233,75280,65861,302,654,76
632:1937,76752,16386,52165,17,35960,36398,79189,103249,61360
633:58,1039,508,138,289,61,873,554,94,364
634:4697,4967,559,367,2115,1600,4907,9916,12332,22689
646:500,546,1164,1913,2848,4880,3081,201,2008,1936
666:311,4671,4510,10192,7622,10981,1340,1875,16036,4696
667:1405,162,94,364,1382,483,2200,1140,429,353
